xacc,yacc,zacc,xgyro,ygyro,zgyro
1.022461,0.114990,0.096191,-3.480916,17.450382,-46.839695
1.024170,0.128662,0.091064,-3.954198,17.389313,-47.038166
1.022705,0.121582,0.083496,-4.183206,16.381680,-46.961834
1.035156,0.114014,0.073975,-3.877863,16.061069,-46.931297
1.043701,0.100586,0.081055,-2.717557,16.473282,-46.335876
1.050537,0.092773,0.063965,-1.038168,16.900763,-45.160305
1.058350,0.113770,0.056885,-0.763359,17.694656,-45.206108
1.072754,0.144775,0.054932,-1.664122,18.824427,-44.900764
1.065674,0.157227,0.045654,-2.335878,20.274809,-44.045803
1.053955,0.138428,0.044189,-2.396947,21.038168,-43.175571
1.053467,0.114990,0.042236,-1.312977,21.618320,-41.572517
1.057861,0.104004,0.056396,0.015267,22.671755,-40.839695
1.054199,0.096436,0.054688,1.297710,23.465649,-40.290077
1.045166,0.121582,0.065674,1.282443,23.801527,-39.893131
1.037109,0.135254,0.083740,0.458015,23.923664,-40.030533
1.026123,0.150391,0.094238,-1.175573,24.244274,-40.702290
1.010498,0.146973,0.102783,-3.053435,23.419847,-41.938931
1.000244,0.132812,0.125977,-4.305344,21.954199,-42.793892
1.006592,0.121582,0.125244,-4.335878,21.099237,-43.465649
1.007568,0.116211,0.114502,-5.114504,20.045801,-44.030533
1.006348,0.136230,0.129395,-6.656488,19.236641,-45.816795
1.002686,0.135010,0.128174,-9.145039,18.061069,-47.908398
1.009277,0.115967,0.125488,-10.458015,16.900763,-49.343510
1.016602,0.098145,0.100830,-10.320611,16.534351,-50.076336
1.023926,0.085938,0.092773,-9.496183,16.488550,-49.816795
1.036377,0.070801,0.086670,-7.465649,16.854961,-49.282444
1.037598,0.062012,0.082764,-4.992366,17.038168,-48.198475
1.040527,0.060303,0.080078,-2.137405,17.465649,-46.946564
1.040771,0.067139,0.065186,0.839695,18.061069,-45.374046
1.045410,0.073242,0.060059,3.954198,19.129770,-43.221375
1.052734,0.102783,0.059570,6.290076,20.381680,-40.854961
1.054932,0.126709,0.061279,6.885496,21.740458,-39.343510
1.045898,0.133057,0.067627,6.656488,22.931297,-38.580154
1.032959,0.124512,0.080322,6.274809,23.099237,-38.519085
1.013916,0.113281,0.088135,5.740458,22.793894,-38.412212
1.017822,0.099609,0.083496,6.091603,22.106871,-38.473282
1.028564,0.097656,0.087158,6.961832,21.740458,-37.725189
1.012695,0.108398,0.084717,6.809160,21.099237,-37.099236
1.027100,0.138428,0.084717,4.381680,21.160305,-38.610687
1.046143,0.162598,0.083252,-0.030534,21.694656,-41.053436
1.034424,0.164551,0.090820,-4.793893,22.244274,-43.633587
1.017822,0.134033,0.096191,-8.549619,21.587786,-45.175571
1.019287,0.099609,0.088135,-9.267176,20.717558,-46.076336
1.024658,0.072021,0.085205,-8.595420,19.908398,-46.229008
1.039551,0.056641,0.098633,-6.977099,20.076336,-46.290077
1.034668,0.048828,0.092285,-5.145038,19.832062,-46.045803
1.024170,0.035889,0.099609,-2.992366,19.114504,-45.679390
1.019043,0.029297,0.101807,0.366412,18.137405,-44.717556
1.014160,0.034424,0.087891,3.541985,17.328245,-43.709923
1.025146,0.041016,0.090088,6.885496,17.190840,-42.091602
1.042236,0.052490,0.095947,9.984733,17.297710,-40.732826
1.036865,0.064697,0.091553,12.305344,17.862595,-39.664124
1.037598,0.082275,0.085205,13.664123,18.641222,-39.389313
