xacc,yacc,zacc,xgyro,ygyro,zgyro
0.020996,-1.082275,0.053467,-8.748092,15.022901,-52.564884
0.040039,-1.105713,0.071289,-5.908397,15.603053,-51.099236
0.035400,-1.112061,0.093750,-2.488550,16.854961,-50.351147
0.030518,-1.121582,0.107178,1.709924,17.725191,-49.572517
0.017578,-1.098389,0.103271,5.969466,18.656488,-49.175571
0.006104,-1.063965,0.112061,8.870229,19.175573,-49.007633
-0.000732,-1.044189,0.111572,10.809160,19.358778,-48.717556
-0.007324,-1.029785,0.110352,12.473283,18.885496,-48.778625
-0.016846,-1.011963,0.118408,13.587787,18.305344,-49.541985
-0.021484,-1.008301,0.124512,14.015267,17.801527,-51.007633
-0.023438,-0.985107,0.123291,14.229008,17.419847,-53.541985
-0.011475,-0.968994,0.123535,14.519084,18.015266,-56.885498
0.006592,-0.958740,0.129395,15.190840,19.282442,-61.511452
0.029053,-0.958984,0.124756,15.648855,22.167938,-64.396950
0.035889,-0.957275,0.131104,15.465649,24.274809,-65.770996
0.033936,-0.951172,0.129395,14.641221,25.435114,-64.946564
0.030029,-0.965576,0.118164,12.809160,25.847328,-62.687023
0.025879,-0.988281,0.106445,11.572519,25.343512,-59.877861
0.024170,-1.000732,0.109863,10.076336,24.885496,-57.221375
0.022705,-1.019531,0.110352,8.824428,23.938931,-55.175571
0.027588,-1.017090,0.112061,7.709924,23.511450,-54.045803
0.044434,-1.010742,0.102051,6.870229,23.755726,-53.419846
0.067383,-0.966553,0.125488,4.610687,25.145039,-54.854961
0.074463,-0.933838,0.135986,0.900763,27.618320,-54.396946
0.050781,-0.936523,0.140869,-3.374046,29.267176,-52.580154
0.015869,-0.942139,0.155273,-7.557252,29.328245,-50.503819
-0.000244,-0.952148,0.150391,-11.328244,28.091602,-49.343510
-0.010498,-0.983398,0.154785,-13.221375,26.564886,-49.099236
0.002930,-1.010010,0.154053,-12.625955,25.557251,-49.053436
0.014160,-1.023682,0.134766,-11.175572,25.129770,-48.839695
0.018799,-1.026123,0.146729,-9.893129,24.732824,-47.862595
0.024658,-1.021240,0.140625,-8.763359,24.015266,-47.496181
0.028320,-1.020996,0.118164,-7.786260,23.648855,-46.641220
0.028809,-1.025879,0.105713,-6.931298,22.763359,-46.000000
0.034424,-1.023926,0.087402,-6.488550,22.213741,-44.580154
0.029053,-1.021729,0.080078,-6.106870,21.251909,-42.549618
0.019043,-1.021484,0.088867,-6.137404,20.045801,-42.000000
0.019775,-1.018799,0.079834,-6.396946,18.549618,-41.404579
0.015381,-1.002197,0.076172,-7.251908,17.206106,-40.885498
0.021484,-0.997070,0.079346,-7.984733,15.877863,-39.343510
0.022217,-0.995850,0.074951,-9.755725,14.687023,-37.862595
0.023193,-0.995850,0.074463,-11.206107,13.694656,-36.366413
0.024170,-0.985352,0.087158,-14.595420,13.099236,-32.167938
0.032471,-0.988770,0.090332,-18.396946,12.625955,-29.068703
0.045654,-1.014648,0.105957,-20.717558,12.778625,-28.290077
0.033447,-1.030518,0.114258,-21.022902,13.175572,-28.977098
0.044922,-1.033691,0.119141,-19.969465,14.366412,-29.954199
0.038818,-1.031494,0.117432,-17.877863,15.068703,-31.832062
0.029053,-1.031250,0.136963,-16.427481,15.832061,-33.328243
0.011475,-1.038574,0.132812,-14.137404,15.679389,-35.129772
-0.000488,-1.046387,0.134277,-11.984733,15.175572,-37.526718
0.009277,-1.047852,0.135010,-9.114504,14.748092,-39.679390
0.023438,-1.046387,0.103760,-6.335878,15.038168,-41.236641
0.034180,-1.038330,0.095215,-4.488550,15.648855,-41.816795
0.044922,-1.034668,0.083984,-2.946565,16.717558,-41.251907
0.048096,-1.020996,0.067139,-2.137405,17.633587,-41.038166
0.053711,-1.012451,0.051514,-1.893130,19.175573,-41.282444
0.056641,-1.021240,0.054443,-1.618321,20.381680,-41.603054
0.043457,-1.018066,0.059082,-0.717557,20.732824,-42.656490
0.027100,-1.022461,0.070312,0.442748,20.137405,-43.236641
0.023682,-1.026123,0.060791,2.732824,19.450382,-43.328243
0.033691,-1.032227,0.045898,5.129771,19.404581,-44.396946
0.030029,-1.036621,0.038330,6.748092,19.374046,-45.206108
0.020264,-1.028076,0.059082,7.587786,19.251909,-46.625954
0.009766,-1.012939,0.072266,7.908397,18.946566,-47.633587
0.002686,-0.996826,0.082764,7.526718,18.381680,-48.625954
-0.010742,-0.973633,0.091309,6.595420,17.404581,-49.526718
-0.014893,-0.968506,0.110596,5.358778,16.290077,-50.244274
-0.018555,-0.967041,0.121826,3.587786,14.793893,-51.007633
-0.020264,-0.990479,0.133545,3.557252,13.358779,-51.496181
0.010742,-1.017578,0.137207,4.015267,13.068703,-51.129772
0.018311,-1.029785,0.139893,5.267176,13.312977,-51.053436
0.029297,-1.051758,0.165283,6.870229,14.167939,-51.496181
0.027588,-1.075928,0.163330,9.587787,15.465649,-51.480915
0.039307,-1.083496,0.169922,12.992367,16.931297,-50.503819
0.047363,-1.084961,0.155762,16.610687,18.473282,-49.557251
0.052002,-1.083740,0.156494,20.244274,20.366413,-48.473282
0.064209,-1.094727,0.147949,23.984734,22.671755,-46.961834
0.061279,-1.088379,0.142334,27.572519,24.534351,-46.076336
0.054199,-1.053223,0.140625,29.129770,25.664122,-45.938931
0.038086,-1.017822,0.137207,28.992367,26.015266,-45.969467
0.019043,-0.986328,0.127930,27.343512,25.816793,-45.358780
0.019287,-0.960205,0.119385,24.656488,25.022902,-44.503819
0.010498,-0.944092,0.124756,21.450382,23.770992,-44.244274
0.005127,-0.928711,0.108398,17.511450,22.045801,-44.198475
0.004639,-0.924561,0.122803,13.068703,20.687023,-43.755726
0.000244,-0.922119,0.115967,8.335877,18.778625,-44.000000
0.004150,-0.919434,0.113770,4.198473,17.587786,-43.709923
0.014893,-0.936279,0.121094,0.488550,16.458015,-43.770992
0.022461,-0.942627,0.125732,-2.244275,15.786260,-44.106869
0.027344,-0.955811,0.135498,-4.244275,15.496183,-44.213741
0.032959,-0.980225,0.144287,-5.038168,15.328244,-44.717556
0.027344,-1.015625,0.170166,-4.091603,15.541985,-45.603054
0.034424,-1.044922,0.184326,-1.541985,15.358779,-46.656490
0.034912,-1.051758,0.180908,1.206107,16.290077,-46.519085
0.049072,-1.056641,0.180420,4.045802,17.206106,-46.534351
0.047852,-1.040283,0.186768,6.122138,18.076336,-46.992367
0.048828,-1.032959,0.178223,7.389313,19.114504,-47.786259
0.047852,-1.044922,0.161377,8.045801,20.061069,-47.908398
0.043701,-1.039062,0.143311,8.564885,20.717558,-47.603054
0.041260,-1.046631,0.141357,8.778625,21.160305,-47.343510
0.034180,-1.032471,0.130859,9.206107,21.603054,-47.770992
0.040283,-1.013184,0.134277,9.053435,21.648855,-47.908398
0.038574,-1.006104,0.140137,8.595420,21.450382,-47.893131
0.034180,-1.002197,0.134521,8.412213,21.419847,-47.770992
0.035645,-0.996338,0.139648,7.679389,21.053434,-47.297710
0.031250,-0.997803,0.141846,7.145038,20.839695,-46.564884
0.032959,-0.991943,0.159668,6.748092,20.366413,-46.183205
0.043457,-0.990479,0.178467,6.122138,20.687023,-45.984734
0.041260,-0.983643,0.183594,5.694656,20.916031,-45.969467
0.036621,-0.973877,0.175049,4.335878,21.251909,-46.183205
0.035156,-0.972412,0.166016,3.480916,21.343512,-46.198475
0.047363,-0.977051,0.168457,2.198473,21.755726,-46.244274
0.051025,-1.001709,0.168213,2.152672,22.412214,-45.786259
0.049072,-1.015869,0.171875,3.190840,23.267176,-45.450382
0.063721,-1.023926,0.165527,4.549618,24.381680,-45.099236
0.072998,-1.036377,0.148438,6.213740,25.954199,-44.946564
0.073730,-1.049805,0.141113,8.198473,27.419847,-44.870228
0.066895,-1.053711,0.125977,10.549619,28.671755,-45.404579
0.050537,-1.057617,0.124756,12.916031,29.618320,-45.847328
0.044189,-1.049561,0.127197,14.549619,29.740458,-45.740459
0.040039,-1.032471,0.135010,15.206107,29.358778,-45.603054
0.016846,-1.014648,0.153076,15.145039,28.335878,-45.419846
0.023926,-0.980225,0.158691,14.152672,27.694656,-44.977100
0.024170,-0.958008,0.163330,11.923664,26.916031,-44.290077
0.017822,-0.945801,0.175781,8.916031,26.229008,-43.664124
0.015625,-0.945068,0.171387,5.893130,25.267176,-43.541985
0.014160,-0.943115,0.182129,2.183206,24.381680,-43.755726
0.008301,-0.948486,0.187012,-1.587786,23.145039,-43.694656
0.008057,-0.951660,0.195557,-5.419847,22.213741,-44.045803
0.008545,-0.960449,0.193604,-8.320611,21.328245,-44.290077
0.006104,-0.975830,0.199951,-10.992367,20.244274,-44.610687
0.016113,-0.986084,0.198730,-12.748092,19.312977,-45.007633
0.028564,-0.990723,0.201172,-14.335877,18.870230,-44.732826
0.033936,-0.993896,0.185791,-15.679389,19.068703,-44.274811
0.040283,-1.000732,0.188232,-15.648855,19.587786,-44.076336
0.042236,-1.014404,0.198242,-15.007633,20.015266,-44.198475
0.043457,-1.019531,0.190918,-13.954199,20.458015,-44.366413
0.039795,-1.007812,0.210693,-13.175572,20.916031,-44.702290
0.022949,-0.981689,0.212646,-13.083969,20.793894,-44.412212
0.027344,-0.928711,0.232178,-15.297709,20.320610,-44.167938
0.023438,-0.881836,0.233398,-19.954199,20.076336,-44.000000
0.027588,-0.840332,0.248535,-26.366413,20.000000,-42.580154
0.016602,-0.769531,0.247559,-34.580154,19.938931,-38.885498
-0.001953,-0.626465,0.250977,-47.297710,19.038168,-31.511450
-0.024170,-0.296143,0.269287,-70.961830,17.267176,-17.801527
-0.084229,0.187500,0.328613,-115.389313,13.847328,0.458015
-0.135742,0.736572,0.406982,-188.977097,8.366412,16.427481
-0.113770,1.108398,0.396729,-286.580139,5.984733,21.419847
-0.004639,1.201172,0.229980,-399.389313,11.511451,13.145039
0.035889,1.060791,-0.044434,-500.274811,22.442749,-1.770992
0.083496,0.919434,-0.272949,-500.274811,40.045803,-20.427481
0.178223,0.883545,-0.557617,-500.274811,66.183205,-47.954197
0.357178,0.767822,-0.787842,-500.274811,93.572517,-86.854965
0.451660,0.416992,-1.067871,-500.274811,112.885498,-124.580154
0.352051,0.129639,-1.363525,-500.274811,124.290077,-153.099243
0.330078,-0.066895,-1.699707,-500.274811,125.969467,-164.992371
