xacc,yacc,zacc,xgyro,ygyro,zgyro
1.025146,0.046631,0.036865,-5.083970,26.442749,-30.595419
1.019043,0.041504,0.046143,-5.664122,26.946566,-28.900763
1.031250,0.034668,0.064209,-5.312977,27.572519,-28.152672
1.028564,0.031494,0.079590,-5.404580,28.106871,-27.419847
1.012207,0.010986,0.086426,-4.839694,26.702290,-26.564886
0.991455,-0.003662,0.085693,-3.450382,24.335878,-26.061069
0.994629,-0.002197,0.081543,-2.687023,22.335878,-25.587786
1.016846,-0.000488,0.084961,-2.061069,21.877863,-24.717558
1.024902,-0.021484,0.083740,-0.854962,22.045801,-25.129770
1.025391,-0.033691,0.083252,0.687023,22.458015,-26.488550
1.039551,-0.027832,0.076904,2.015267,23.297710,-28.137405
1.024170,-0.026611,0.075439,3.038168,23.587786,-29.389313
1.029297,-0.016113,0.069092,3.480916,23.709923,-29.770992
1.019775,0.010254,0.052979,3.343511,23.450382,-30.030535
1.019775,0.019531,0.062256,2.519084,22.473282,-29.877863
1.017578,0.020752,0.051270,1.923664,22.000000,-29.374046
1.036621,0.035400,0.045166,0.442748,22.198473,-29.236641
1.053711,0.033203,0.042725,-1.145038,22.870230,-29.099237
1.052002,0.037109,0.040039,-2.732824,24.167938,-29.954199
1.062500,0.016113,0.043213,-3.541985,25.664122,-30.503817
1.047852,0.009521,0.036377,-3.816794,26.870230,-31.160305
1.049805,0.000732,0.050293,-4.671756,28.290077,-31.938931
1.057617,0.002197,0.039062,-5.297710,29.587786,-31.908398
1.065186,-0.007080,0.054443,-5.221374,30.916031,-32.702290
1.068359,-0.020508,0.058350,-4.824428,32.610687,-33.206108
1.044922,-0.032471,0.062988,-3.938931,33.450382,-34.290077
1.031738,-0.060791,0.076172,-2.977099,33.190838,-34.564884
1.038330,-0.040039,0.082764,-2.229008,32.931297,-34.442749
1.017334,-0.031982,0.092285,-1.847328,31.862595,-34.946564
1.035645,-0.023438,0.078369,-1.419847,31.297710,-34.473282
1.051025,-0.035889,0.096191,-0.351145,31.587786,-34.381680
1.050781,-0.042969,0.113281,0.641221,31.435114,-34.961834
1.057129,-0.044922,0.100098,1.145038,32.305344,-34.656490
1.115479,-0.018799,0.126953,1.068702,36.183205,-33.129772
1.130615,-0.080322,0.122803,3.755725,42.106869,-33.007633
1.080811,-0.085693,0.123535,6.519084,44.274811,-34.702290
0.941406,-0.062256,0.097900,7.450382,39.251907,-38.519085
0.863770,-0.014893,0.110352,4.946565,29.190840,-41.496181
0.900635,-0.005371,0.124512,2.000000,21.175573,-41.618320
0.997070,-0.012939,0.115234,0.442748,18.793894,-41.496181
1.070801,-0.023193,0.103271,-0.290076,20.259542,-41.526718
1.067871,-0.029053,0.098145,-0.366412,22.687023,-42.137405
1.032471,-0.011475,0.088135,-1.541985,23.083969,-43.328243
1.020996,0.001709,0.079834,-2.854962,22.519083,-43.572517
1.007324,0.008301,0.090576,-4.152672,20.641222,-42.702290
1.012939,0.002197,0.075684,-4.931298,19.312977,-42.320610
1.022461,-0.006104,0.083496,-4.885496,19.114504,-41.908398
1.047363,-0.023926,0.083740,-4.503817,20.229008,-41.511452
1.049561,-0.040283,0.070557,-3.694656,21.938931,-42.839695
1.047119,-0.036377,0.073975,-3.038168,22.748091,-44.015266
1.048828,-0.051270,0.085205,-1.969466,23.770992,-43.938931
1.026123,-0.067627,0.077393,-0.717557,22.717558,-44.717556
1.021484,-0.065918,0.084229,0.274809,21.251909,-45.770992
1.029541,-0.051758,0.083252,0.244275,20.259542,-46.656490
1.043701,-0.039795,0.093262,0.137405,20.687023,-48.045803
