xacc,yacc,zacc,xgyro,ygyro,zgyro
1.039551,0.021973,0.009766,0.335878,21.114504,-44.305344
1.040527,0.024414,0.013184,-0.076336,22.045801,-44.015266
1.038330,0.040771,0.009766,-0.458015,21.709923,-43.725189
1.040283,0.040283,0.018066,-0.916031,22.122137,-43.206108
1.037354,0.038330,0.023193,-1.236641,22.274809,-42.595421
1.037354,0.018311,0.023682,-1.068702,21.954199,-42.213741
1.026855,0.011475,0.024902,-0.916031,21.801527,-42.458015
1.040283,0.010010,0.020264,-1.083969,22.015266,-43.297710
1.042725,0.010010,0.017334,-1.022901,22.702290,-43.923664
1.049561,0.020996,0.020020,-1.114504,23.511450,-44.625954
1.051758,0.033447,0.014160,-1.526718,23.862595,-45.160305
1.043213,0.033447,0.024414,-2.091603,24.381680,-45.786259
1.039062,0.027344,0.035889,-2.488550,24.717558,-46.702290
1.040771,0.031982,0.046387,-2.625954,24.992367,-47.435116
1.026855,0.025391,0.061523,-3.099237,24.396946,-47.328243
1.011719,0.022949,0.071045,-2.229008,23.099237,-46.916031
1.009521,0.020020,0.069336,-1.587786,21.603054,-46.305344
1.014648,0.025146,0.062988,-1.221374,20.320610,-45.221375
1.013428,0.019287,0.054932,-0.458015,19.908398,-44.793892
1.015625,0.014160,0.047363,-0.595420,20.198473,-44.885498
1.018555,0.017822,0.048828,-0.595420,19.786259,-45.603054
1.007568,0.026123,0.041748,-0.946565,19.236641,-45.526718
1.018555,0.045898,0.031250,-1.251908,18.473282,-44.519085
1.037354,0.050781,0.033447,-1.282443,18.381680,-43.511452
1.039307,0.035645,0.019531,-1.221374,18.259542,-42.580154
1.037354,0.034424,0.024170,-0.885496,18.687023,-42.549618
1.037842,0.031738,0.017822,-0.885496,18.732824,-42.717556
1.035645,0.039795,0.019531,-1.022901,19.099237,-42.748093
1.041504,0.042480,0.017822,-1.099237,19.099237,-42.732826
1.042480,0.047607,0.008057,-0.854962,19.770992,-42.671757
1.045166,0.049561,0.011230,-0.931298,20.213741,-42.137405
1.043945,0.048096,0.007812,-1.068702,20.595419,-42.152672
1.048828,0.038574,0.019531,-1.358779,21.083969,-42.076336
1.040527,0.025879,0.014648,-1.358779,21.877863,-42.473282
1.031982,0.027588,0.022949,-1.389313,22.366413,-42.702290
1.034424,0.024658,0.021240,-1.297710,22.778625,-42.702290
1.032959,0.023682,0.032715,-1.190840,22.427481,-43.038166
1.035156,0.016602,0.023682,-0.977099,22.595419,-43.267174
1.035645,0.020996,0.032715,-0.992366,22.671755,-43.786259
1.041504,0.028564,0.030029,-1.038168,22.992367,-44.030533
1.026611,0.030518,0.033936,-1.236641,23.358778,-44.305344
1.031006,0.027100,0.039551,-1.480916,23.083969,-44.458015
1.034912,0.027100,0.042236,-1.465649,22.809160,-44.809162
1.022949,0.029541,0.046875,-1.465649,22.595419,-44.442749
1.023193,0.027100,0.056396,-1.175573,22.274809,-44.198475
1.021973,0.024414,0.053711,-0.839695,21.633587,-43.572517
1.028076,0.023193,0.059570,-0.748092,21.450382,-43.679390
1.016357,0.023926,0.049561,-0.916031,21.251909,-43.877861
1.007080,0.032227,0.044434,-1.328244,20.442749,-43.786259
1.005615,0.036621,0.049072,-2.152672,19.419847,-43.038166
1.022217,0.039551,0.033691,-3.007634,18.778625,-42.671757
1.031982,0.042725,0.035645,-3.496183,18.656488,-42.000000
1.034668,0.025146,0.030762,-3.740458,19.251909,-42.244274
1.037109,0.016846,0.027588,-3.038168,19.725191,-42.213741
1.032227,0.009521,0.021484,-2.625954,20.152672,-42.854961
1.034424,0.006348,0.024414,-2.229008,20.305344,-43.282444
1.038818,-0.002197,0.034180,-1.374046,20.198473,-43.404579
1.036621,-0.003662,0.022949,-0.274809,20.534351,-43.832062
1.047852,-0.009766,0.016846,0.961832,21.083969,-44.305344
1.045410,0.000244,0.019775,1.755725,21.786259,-45.267174
1.040771,0.007568,0.025879,2.351145,22.412214,-45.679390
1.038086,0.016846,0.031494,2.595420,22.473282,-45.206108
1.032715,0.022217,0.041748,2.442748,21.725191,-47.679390
0.999756,0.017090,0.037842,2.625954,20.687023,-46.824429
1.020508,0.052246,0.015137,2.244275,20.748091,-45.572517
1.035400,0.059570,0.030762,2.137405,21.664122,-44.442749
1.026855,0.059814,0.030273,1.694656,21.633587,-42.656490
1.012695,0.044434,0.036865,1.007634,21.038168,-42.442749
1.010742,0.023438,0.035889,0.885496,20.671755,-43.022900
1.033203,0.019775,0.044678,0.961832,21.679390,-43.083969
1.037598,0.021484,0.043457,0.595420,22.091602,-43.618320
1.025391,0.030029,0.040527,-0.335878,22.030535,-43.679390
1.013184,0.036377,0.050537,-1.511450,21.480917,-44.137405
1.035645,0.046631,0.038330,-3.862595,21.328245,-46.290077
1.099609,0.072266,0.025635,-8.778625,23.236641,-50.503819
1.084717,0.105469,0.046875,-14.977099,24.198473,-53.374046
1.028076,0.137207,0.022217,-21.664122,23.480917,-53.877861
1.080322,0.209473,-0.026611,-33.587788,25.007633,-55.404579
1.127930,0.292725,-0.028076,-50.641220,28.580153,-56.335876
1.054932,0.385254,-0.007080,-73.725189,28.809160,-58.595421
1.064697,0.491455,-0.048340,-104.183205,28.198473,-63.099236
1.117676,0.707275,-0.127197,-143.725189,28.992367,-68.351143
1.098633,0.896973,-0.125244,-190.519089,30.931297,-65.969467
1.066406,1.053467,-0.217285,-241.923660,30.748091,-52.290077
1.023438,1.204346,-0.257324,-293.648865,26.183207,-32.763359
1.003418,1.239502,-0.283936,-344.137390,18.366413,-11.114504
1.066895,1.163574,-0.367188,-393.633575,11.358779,10.748092
1.072998,1.083984,-0.442383,-441.770996,3.404580,35.099236
0.958984,0.746582,-0.408936,-476.198486,-7.083970,63.832062
0.928467,0.408203,-0.392578,-500.274811,-16.717558,83.664124
1.016357,0.156006,-0.456787,-500.274811,-22.259542,86.351143
1.109619,-0.051758,-0.528564,-500.274811,-21.267176,77.145035
1.085693,-0.209717,-0.554443,-500.274811,-15.435115,53.786259
1.197510,-0.129150,-0.577148,-500.274811,-2.946565,26.045801
1.324707,-0.104980,-0.554443,-500.274811,17.419847,2.167939
1.374756,-0.174561,-0.492920,-500.274811,38.000000,-15.923664
1.266357,-0.157959,-0.434570,-500.274811,51.435116,-30.931297
1.041260,-0.054932,-0.321777,-500.274811,55.251907,-44.778625
0.900146,-0.046631,-0.209961,-500.274811,53.923664,-49.389313
0.833252,-0.163574,-0.191162,-500.274811,49.435116,-51.877861
0.869385,-0.236816,-0.294189,-500.274811,46.900764,-59.740459
0.676270,-0.166260,-0.298340,-500.274811,38.702290,-73.832062
0.465088,-0.136719,-0.309814,-500.274811,21.404581,-69.816795
0.372070,-0.142334,-0.250488,-500.274811,-0.137405,-55.435116
0.682861,-0.024170,-0.260254,-500.274811,-12.992367,-47.694656
0.761230,-0.025391,-0.367188,-500.274811,-16.778625,-38.015266
0.844482,-0.048828,-0.478760,-500.274811,-16.656488,-30.534351
0.845459,-0.005371,-0.469971,-500.274811,-13.312977,-22.717558
0.985596,0.186279,-0.360107,-500.274811,-7.587786,-14.961832
1.050781,0.414062,-0.287354,-500.274811,-10.793893,2.824427
1.064697,0.387207,-0.339844,-500.274811,-10.351145,21.770992
0.865479,0.405518,-0.290039,-500.274811,-12.961832,32.213741
1.161621,0.284180,-0.285400,-500.274811,-5.893130,52.625954
0.974854,0.166992,-0.208008,-493.679382,-6.977099,64.763359
1.105957,0.126709,-0.254639,-471.709930,-0.687023,72.809158
1.157959,-0.145752,-0.222900,-436.351135,8.870229,80.778625
1.097412,-0.430664,-0.123291,-386.580139,12.687023,77.480919
1.012939,-0.732178,-0.031494,-325.587799,15.923664,61.297710
0.948730,-0.786377,0.000732,-268.656494,16.519083,46.671757
0.983154,-0.681885,0.019531,-226.458008,16.595419,34.671757
0.910400,-0.510254,0.049072,-199.114502,12.534351,24.564886
0.839844,-0.366699,0.091309,-182.427475,2.732824,15.709924
0.819824,-0.314697,0.119141,-167.862595,-9.572519,8.595420
0.965088,-0.357666,0.098389,-150.916031,-15.053435,4.259542
0.961426,-0.294922,0.073730,-135.572525,-18.946566,-1.755725
1.065186,-0.319824,0.018555,-121.847328,-19.358778,-0.595420
1.122559,-0.229492,0.112061,-110.839691,-18.656488,1.480916
1.029297,-0.225342,0.115234,-103.694656,-21.801527,-1.358779
1.032471,-0.229004,0.028809,-96.870232,-22.809160,0.564885
1.086182,-0.183594,-0.041992,-94.961830,-19.755726,2.412214
1.131592,-0.137939,-0.056885,-97.374046,-14.458015,6.946565
1.116455,-0.093262,-0.022217,-100.290077,-10.061069,9.526717
1.034668,-0.156494,0.036133,-99.633591,-9.938931,10.122137
1.034912,-0.219727,0.073975,-92.106873,-9.160305,9.572519
1.188721,-0.281006,0.030518,-82.824425,-2.992366,9.496183
1.198730,-0.301025,-0.012207,-74.137405,5.770992,6.580153
1.119629,-0.303955,0.018066,-65.282440,10.229008,4.717557
1.074463,-0.317871,0.057617,-54.549618,12.564885,0.839695
1.059570,-0.366211,0.066162,-42.015266,13.679389,-3.755725
1.071777,-0.418945,0.064453,-26.412214,16.137405,-8.687023
1.067139,-0.471436,0.060791,-7.801527,17.725191,-16.503817
1.036133,-0.492188,0.073242,13.160305,18.106871,-24.335878
1.023926,-0.490723,0.078613,33.664124,17.648855,-30.519083
1.021973,-0.483643,0.078369,52.885498,16.809160,-36.244274
1.025391,-0.494629,0.073242,72.687019,15.725191,-43.221375
1.017090,-0.532959,0.042969,93.160309,15.038168,-50.992367
0.997803,-0.532471,-0.006592,112.366409,13.267176,-58.000000
1.012207,-0.540527,-0.033936,132.381683,13.694656,-67.526718
1.013184,-0.533691,-0.063721,152.488556,14.564885,-75.129768
1.022461,-0.514160,-0.060059,171.893127,16.076336,-80.534348
1.043457,-0.557861,-0.087646,193.984726,19.267176,-86.671753
1.030762,-0.631104,-0.144775,217.908401,22.824427,-94.763359
1.010498,-0.639160,-0.162842,242.625961,25.847328,-101.908394
0.978760,-0.642578,-0.179199,268.839691,26.854961,-108.137405
0.956055,-0.569092,-0.160156,290.824432,28.534351,-115.893127
0.979492,-0.502930,-0.161621,310.030548,29.877863,-118.854965
1.023438,-0.564209,-0.165771,332.748077,34.839695,-127.358780
0.997803,-0.617432,-0.194092,360.778625,39.938931,-136.396942
0.990967,-0.659668,-0.208252,393.969452,47.694656,-146.320618
0.926025,-0.801514,-0.313721,434.091614,55.740459,-165.648849
0.843506,-0.767090,-0.391113,472.244263,61.709923,-175.480911
0.802979,-0.725586,-0.364746,500.259552,61.648853,-181.923660
0.738770,-0.636963,-0.396973,500.259552,60.595421,-186.305344
0.697754,-0.528809,-0.409424,500.259552,60.152672,-188.625961
0.655518,-0.468262,-0.441162,500.259552,59.206108,-186.488556
0.654297,-0.466797,-0.472900,500.259552,58.106869,-181.801529
0.614014,-0.379150,-0.502441,500.259552,56.610687,-174.000000
0.585938,-0.274414,-0.468506,500.259552,52.824429,-159.633591
0.634766,0.377930,-0.260742,500.259552,44.824429,-137.328247
0.639893,0.376221,-0.394775,500.259552,39.633587,-133.969467
0.737793,0.283936,-0.545166,500.259552,35.343510,-131.984726
0.749756,0.358398,-0.473633,500.259552,36.106869,-118.137405
0.825928,0.324219,-0.423096,500.259552,38.015266,-112.061066
0.930664,0.372314,-0.502441,500.259552,40.641220,-112.351143
0.960205,0.416748,-0.618164,500.259552,44.687023,-117.343513
0.987305,0.464355,-0.582031,500.259552,50.503819,-121.603050
1.086670,0.714355,-0.535156,500.259552,57.511452,-109.145035
1.092041,0.577393,-0.486572,487.450378,60.778625,-123.175575
1.194824,0.272949,-0.419678,482.488556,64.519081,-109.312981
1.078613,0.360107,-0.399170,474.580139,62.351147,-101.908394
1.052002,0.282959,-0.355225,470.213745,57.633587,-98.076332
