xacc,yacc,zacc,xgyro,ygyro,zgyro
0.068359,0.960938,0.066895,-0.763359,19.541985,-43.664124
0.064697,0.976807,0.069092,-0.229008,20.106871,-43.206108
0.061523,1.006592,0.058838,-0.793893,20.229008,-42.961834
0.062012,1.010254,0.068359,-1.816794,20.931297,-42.396946
0.062500,1.010254,0.073486,-2.229008,20.854961,-42.412212
0.062744,1.003418,0.077881,-2.167939,21.267176,-42.274811
0.048340,0.989502,0.077637,-2.625954,21.404581,-42.580154
0.044434,0.965088,0.087158,-1.770992,21.038168,-42.931297
0.058594,0.968750,0.086182,-0.916031,20.793894,-43.496181
0.062988,0.975342,0.083496,-0.977099,20.824427,-43.893131
0.071533,0.973877,0.073486,-1.083969,20.900763,-44.061069
0.065918,0.974121,0.067139,-0.778626,20.946566,-44.183205
0.058105,0.980225,0.065430,-0.580153,20.015266,-44.076336
0.054199,0.988770,0.075439,-0.687023,19.740458,-44.290077
0.055664,0.993408,0.072266,-0.854962,19.633587,-44.122139
0.051514,1.001953,0.071533,-1.541985,19.389313,-44.106869
0.052490,0.994141,0.068604,-1.984733,19.358778,-44.061069
0.071289,0.988525,0.076416,-2.259542,19.374046,-44.549618
0.068604,0.979248,0.079346,-2.106870,20.198473,-44.748093
0.052979,0.970703,0.086182,-1.221374,20.106871,-44.564884
0.057373,0.972168,0.084717,-0.793893,19.862595,-44.381680
0.062988,0.986816,0.075684,-1.083969,20.137405,-43.984734
0.065430,1.002930,0.067871,-1.954198,20.778625,-44.458015
0.067383,1.007080,0.076904,-2.748092,20.931297,-44.366413
0.060791,1.004150,0.074463,-2.931298,20.961832,-44.610687
0.055420,0.973389,0.079590,-2.274809,20.961832,-44.320610
0.046143,0.950439,0.071777,-0.992366,20.625954,-43.954197
0.058350,0.950195,0.071045,0.793893,20.030535,-43.694656
0.046631,0.953857,0.064453,1.954198,19.557251,-43.770992
0.050049,0.952637,0.068848,2.946565,19.129770,-43.923664
0.055908,0.970459,0.062500,3.862595,18.717558,-44.167938
0.057617,0.988525,0.063232,4.000000,18.656488,-43.984734
0.065918,1.007568,0.073242,3.572519,18.641222,-43.908398
0.063965,1.017334,0.062256,2.229008,18.702290,-43.541985
0.065674,1.016846,0.062988,1.282443,19.099237,-43.312977
0.061523,1.006104,0.063477,0.900763,19.541985,-43.541985
0.060059,1.004883,0.060791,0.870229,19.603054,-43.603054
0.061768,1.016846,0.064941,0.427481,19.709923,-43.816795
0.067139,1.014893,0.062256,-0.732824,20.030535,-43.816795
0.067871,1.011719,0.058838,-1.618321,20.091602,-43.755726
