xacc,yacc,zacc,xgyro,ygyro,zgyro
0.108398,-0.975830,0.098877,-2.061069,28.030535,-43.893131
0.110352,-0.971436,0.096680,-3.709924,30.320610,-44.473282
0.107422,-0.978760,0.103516,-5.282443,32.106869,-44.305344
0.106445,-0.984131,0.086914,-6.427481,34.091602,-43.709923
0.107178,-1.013428,0.089600,-5.786260,35.725189,-43.267174
0.101562,-1.036377,0.109131,-3.969466,37.083969,-42.259541
0.093506,-1.036133,0.132324,-1.694656,37.374046,-41.847328
0.074707,-1.028076,0.136963,0.167939,37.206108,-41.603054
0.061523,-1.010742,0.139648,1.419847,36.305344,-40.900764
0.060303,-1.004395,0.147461,1.923664,35.129772,-39.816795
0.041260,-0.996582,0.153564,2.015267,33.496181,-39.358780
0.028809,-0.990723,0.161865,1.450382,31.068703,-38.900764
0.023682,-0.978516,0.159668,0.854962,28.167938,-38.213741
0.026123,-0.990723,0.160889,0.137405,26.030535,-37.648853
0.037354,-0.991211,0.157715,-0.183206,23.984734,-37.114502
0.044678,-1.000732,0.177002,-0.381679,22.732824,-37.160305
0.038818,-1.005615,0.178467,-0.274809,21.480917,-38.274811
0.037598,-1.028320,0.178467,-0.106870,20.091602,-39.312977
0.038086,-1.025879,0.192871,0.702290,18.793894,-40.259541
0.051758,-1.028809,0.200928,0.748092,17.816793,-41.129772
0.068604,-1.034912,0.194092,1.541985,18.351145,-40.656490
0.088867,-1.030273,0.181885,2.305344,19.251909,-40.488548
0.091553,-1.036377,0.160645,3.541985,20.366413,-41.099236
0.079102,-1.030273,0.150146,3.954198,21.068703,-41.877861
0.070557,-1.028809,0.128662,4.458015,20.885496,-42.198475
0.064697,-1.018555,0.139893,5.114504,20.977098,-41.450382
0.076660,-1.006348,0.128418,5.358778,20.717558,-40.763359
0.076660,-1.002441,0.121094,5.160306,20.793894,-40.152672
0.079590,-1.002197,0.102539,4.885496,21.145039,-39.816795
0.097168,-0.997314,0.099609,4.045802,22.274809,-39.282444
0.091797,-0.992432,0.093994,3.083969,23.389313,-39.145039
0.081787,-0.996826,0.091553,1.938931,24.305344,-39.419846
0.081543,-0.985107,0.101074,0.305344,24.793894,-39.511452
0.074707,-0.977783,0.107666,-1.725191,24.977098,-39.832062
0.068359,-0.988525,0.106445,-3.114504,24.946566,-40.015266
0.047607,-1.005859,0.105957,-3.832061,24.610687,-39.954197
0.057861,-1.015381,0.115723,-3.541985,24.503817,-39.740459
0.063232,-1.015381,0.125000,-3.068702,24.824427,-39.694656
0.068359,-1.019287,0.138672,-2.274809,25.816793,-40.320610
0.067383,-1.020996,0.140869,-1.190840,26.396946,-40.778625
0.054199,-1.009277,0.153564,-0.687023,26.213741,-42.106869
0.040039,-1.019531,0.158203,-0.167939,25.083969,-42.625954
0.028320,-1.027100,0.172607,1.022901,24.000000,-43.358780
0.036377,-1.018311,0.184326,1.633588,22.717558,-43.099236
0.054199,-1.020264,0.194092,2.106870,22.473282,-42.183205
0.062988,-1.010986,0.179932,1.984733,22.335878,-42.290077
0.064209,-0.992676,0.189209,1.190840,21.984734,-43.038166
0.058838,-0.979248,0.186279,-0.412214,21.572519,-43.190838
0.052734,-0.971924,0.183838,-1.755725,20.900763,-43.022900
0.040283,-0.980225,0.173340,-3.099237,19.801527,-43.068703
0.057129,-0.999268,0.156494,-3.419847,18.717558,-43.236641
0.075928,-1.023682,0.143066,-3.007634,18.671755,-43.847328
0.097168,-1.040039,0.138428,-2.106870,19.297710,-43.664124
0.101318,-1.042969,0.119385,-1.404580,20.763359,-44.213741
0.101562,-1.022705,0.122803,-1.633588,22.259542,-44.427483
0.090576,-1.002197,0.130127,-2.793893,23.312977,-44.961834
0.086914,-0.976318,0.125244,-4.610687,24.091602,-44.503819
0.085693,-0.985352,0.112061,-5.114504,25.129770,-42.916031
0.082275,-1.011963,0.123291,-5.038168,26.091602,-42.061069
0.075439,-1.026855,0.119629,-4.503817,26.488550,-42.580154
0.074951,-1.028076,0.126221,-3.969466,26.396946,-43.328243
0.061768,-1.028320,0.129639,-3.206107,26.198473,-42.977100
0.041260,-1.020996,0.140869,-2.824427,25.587786,-42.763359
0.033691,-1.021973,0.136230,-2.564885,24.167938,-42.244274
0.019043,-1.022461,0.154297,-2.183206,21.618320,-41.770992
0.013916,-1.001953,0.161377,-1.969466,18.732824,-41.541985
0.012939,-1.007812,0.170654,-1.832061,17.480917,-41.801525
0.031738,-1.019043,0.173340,-0.580153,16.030535,-40.778625
0.032715,-1.020020,0.182861,0.442748,15.206107,-41.022900
0.042236,-1.003906,0.187744,-0.458015,14.290076,-42.870228
0.046387,-0.980225,0.197510,-2.396947,13.893129,-44.122139
0.052734,-0.961670,0.187988,-5.648855,13.740458,-43.969467
0.056641,-0.947998,0.195312,-10.442748,13.893129,-44.106869
0.056152,-0.936768,0.215576,-16.992367,14.580153,-46.320610
0.061035,-0.912598,0.244629,-26.427481,15.404580,-47.847328
0.091064,-0.898926,0.270020,-37.984734,18.213741,-48.290077
0.110352,-0.891113,0.245605,-50.244274,22.732824,-48.213741
0.114258,-0.882324,0.218018,-61.190838,26.732824,-48.519085
0.090576,-0.866211,0.184814,-72.274811,29.022902,-48.977100
0.073242,-0.862061,0.128418,-82.015266,30.290077,-49.938931
0.075928,-0.863770,0.094727,-90.763359,30.687023,-50.687023
0.060303,-0.867432,0.084717,-98.641220,29.847328,-50.763359
0.013428,-0.789062,0.091309,-108.961830,27.480917,-47.847328
-0.027100,-0.605469,0.113281,-130.000000,23.603054,-40.564884
-0.089844,-0.037842,0.160156,-176.687027,15.526717,-35.770992
-0.114014,0.834961,0.242920,-269.694672,5.282443,-30.763359
-0.034668,1.424805,0.131836,-391.755737,-0.916031,-22.183207
0.158936,1.906738,-0.054443,-500.274811,3.648855,-13.374045
0.152100,2.031982,-0.378662,-500.274811,10.427481,-13.816793
0.209229,2.012939,-0.831299,-500.274811,18.916031,-22.167938
0.260986,1.871826,-1.294434,-500.274811,31.022902,-34.519085
0.351074,1.626465,-1.908691,-500.274811,47.404579,-47.282444
0.438721,1.346924,-2.384033,-500.274811,67.129768,-60.045803
