xacc,yacc,zacc,xgyro,ygyro,zgyro
0.061035,-1.031982,0.018066,4.427481,18.534351,-42.458015
0.067627,-1.025146,0.022461,5.465649,18.045801,-42.183205
0.057861,-1.025146,0.009521,7.145038,16.870230,-42.641220
0.051270,-1.019775,0.016846,7.969466,15.725191,-43.236641
0.068604,-1.001953,0.018799,7.694656,14.870229,-43.358780
0.076172,-0.986572,0.018311,6.274809,15.007633,-43.770992
0.088379,-0.968018,0.025879,4.396946,14.839695,-44.259541
0.101562,-0.953369,0.000488,1.450382,15.847328,-44.839695
0.112549,-0.943115,-0.003418,-2.030534,17.755726,-44.931297
0.117432,-0.931885,0.002686,-5.648855,19.251909,-44.488548
0.111572,-0.934082,0.014160,-9.206107,20.748091,-44.931297
0.118164,-0.931641,0.006348,-12.183207,22.839695,-44.625954
0.111816,-0.939209,0.028320,-15.007633,24.824427,-43.770992
0.097656,-0.974854,0.032227,-15.328244,25.938931,-42.870228
0.077148,-1.029297,0.047607,-14.458015,26.061069,-43.221375
0.057861,-1.062500,0.049805,-11.480916,24.931297,-43.603054
0.053223,-1.044922,0.053955,-8.488549,23.969465,-43.587788
0.062012,-1.025391,0.052002,-6.320611,23.404581,-42.931297
0.059326,-1.020996,0.047363,-4.870229,22.366413,-42.656490
0.061523,-1.011230,0.043945,-4.045802,21.511450,-42.183205
0.064697,-1.013916,0.048584,-2.778626,20.793894,-42.091602
0.069092,-1.030518,0.022705,-1.160305,19.786259,-41.984734
0.074219,-1.038574,0.030518,0.320611,19.450382,-41.832062
0.086914,-1.021240,0.025635,1.511450,18.977098,-42.656490
0.084229,-1.010986,0.020020,1.557252,18.564886,-42.625954
0.096191,-0.995850,0.023682,1.633588,19.083969,-42.580154
0.106201,-0.983398,0.022705,0.992366,19.496183,-42.076336
0.097900,-0.978027,0.035156,0.061069,19.938931,-42.473282
0.092285,-0.975830,0.020264,-0.916031,19.877863,-42.122139
0.091553,-0.982910,0.022949,-2.213740,19.816793,-42.763359
0.086182,-0.986572,0.020020,-3.374046,19.725191,-42.916031
0.080566,-0.989746,0.018799,-4.305344,19.603054,-43.206108
0.069336,-0.988770,0.007568,-4.839694,19.099237,-42.885498
0.072021,-0.991455,0.011475,-5.129771,18.641222,-42.396946
0.084717,-1.003662,0.005127,-5.343512,18.549618,-42.564884
0.097412,-0.996338,-0.000244,-5.847328,19.022902,-43.282444
0.095947,-0.993896,-0.012207,-7.007634,20.152672,-43.832062
0.097412,-0.995117,-0.005859,-8.015267,20.671755,-43.862595
0.092773,-0.994629,0.002441,-8.854961,20.961832,-44.015266
0.097168,-0.997314,0.010742,-9.725191,21.984734,-43.801525
0.098877,-1.004150,0.009521,-9.618320,22.656488,-43.725189
0.096191,-1.033203,0.013916,-7.847328,23.816793,-43.419846
0.072021,-1.063477,0.021240,-4.335878,24.000000,-43.374046
0.063232,-1.083252,0.031006,-0.503817,23.450382,-44.106869
0.052490,-1.055908,0.031738,2.412214,22.671755,-44.656490
0.058350,-1.030762,0.035889,3.328244,22.045801,-44.702290
0.064453,-0.997803,0.033203,3.312977,21.206106,-44.564884
0.066650,-0.979004,0.016846,1.862595,20.671755,-44.167938
0.067383,-0.966064,0.007568,0.000000,20.000000,-44.106869
0.056885,-0.978271,0.007812,-0.778626,19.587786,-43.557251
0.063232,-1.020020,0.006836,0.549618,18.748091,-43.282444
0.063232,-1.036621,0.013916,2.366412,18.595419,-43.923664
0.079102,-1.026611,0.018799,3.312977,19.022902,-43.938931
0.086670,-0.998535,0.018799,3.297710,19.358778,-43.587788
0.075195,-0.976318,0.013672,2.152672,19.007633,-43.526718
0.084717,-0.961182,0.006592,-0.183206,18.946566,-43.496181
0.090820,-0.953125,0.003906,-2.854962,18.916031,-43.282444
0.096436,-0.961914,-0.004883,-5.526718,19.129770,-43.419846
0.102539,-0.966309,-0.015381,-7.938931,19.893129,-43.862595
0.117188,-0.950195,-0.020508,-11.832061,21.374046,-45.190838
0.142822,-0.913086,-0.015869,-17.603054,23.938931,-45.984734
0.141113,-0.885986,-0.026611,-24.717558,26.335878,-46.106869
0.126709,-0.861328,-0.024902,-33.267174,28.106871,-47.022900
0.140137,-0.832031,-0.005127,-42.549618,30.396946,-48.900764
0.163086,-0.768311,0.038818,-56.534351,34.290077,-52.824429
0.191650,-0.655273,0.082764,-75.603050,39.465649,-56.290077
0.221436,-0.516846,0.085938,-101.404579,45.770992,-62.366413
0.257324,-0.312256,0.093506,-141.450378,52.213741,-70.137405
0.184814,-0.035889,0.090576,-194.000000,56.595421,-78.015266
0.037842,0.217773,0.099121,-264.412201,50.473282,-77.068703
-0.172607,0.493652,0.011230,-336.992371,34.687023,-58.488548
-0.147705,0.390625,-0.043457,-401.175568,18.503817,-44.320610
0.118896,0.114502,-0.134033,-452.656494,14.549619,-34.977100
0.199707,0.012207,-0.226807,-495.419861,19.648855,-26.778625
0.147705,0.007812,-0.395020,-500.274811,25.893129,-16.595419
0.131592,0.018311,-0.585449,-500.274811,30.198473,-8.549619
0.103760,-0.036621,-0.779541,-500.274811,33.297710,-3.633588
0.128662,-0.062256,-0.968750,-500.274811,36.061069,-3.251908
0.100830,-0.077393,-1.188965,-500.274811,35.877861,-9.740458
0.052979,-0.223877,-1.398926,-500.274811,31.236641,-13.694656
0.093262,-0.256592,-1.487793,-500.274811,28.106871,-17.603054
0.055176,-0.357178,-1.631836,-500.274811,21.465649,-24.427481
0.101318,-0.396973,-1.689941,-500.274811,16.229008,-31.587786
0.306641,-0.232666,-1.645264,-500.274811,18.534351,-34.091602
0.120117,-0.234863,-1.713379,-500.274811,15.633588,-31.267176
0.149902,-0.158936,-1.754395,-500.274811,15.328244,-27.236641
-0.044434,-0.152832,-1.892334,-500.274811,4.885496,-18.412214
0.274170,0.047852,-2.032715,-500.274811,19.267176,-9.587787
0.330566,-0.113770,-2.074219,-500.274811,35.221375,4.809160
0.260010,-0.455566,-2.035889,-500.274811,50.778625,14.580153
0.176514,-0.764648,-1.999512,-500.274811,62.580154,17.694656
0.147705,-1.002441,-1.953857,-500.274811,75.496185,14.351145
0.022217,-1.193848,-1.752930,-500.274811,79.893127,7.557252
-0.073975,-1.399170,-1.569336,-500.274811,76.335876,-3.251908
-0.112305,-1.444824,-1.326660,-473.694672,67.465652,-18.030535
-0.137939,-1.294434,-1.176270,-402.809174,58.015266,-31.526718
-0.114258,-1.073730,-1.111328,-346.305328,49.068703,-40.641220
-0.231445,-0.706055,-0.982422,-303.725189,35.740459,-49.679390
-0.345947,-0.501953,-0.928467,-273.221375,13.984733,-60.488548
-0.367920,-0.293945,-0.928711,-247.648849,-9.709924,-71.725189
-0.261963,-0.231445,-0.977539,-220.335876,-26.137405,-78.809158
-0.086426,-0.093262,-1.021729,-193.145035,-33.419846,-80.687019
0.036133,0.048828,-1.030518,-169.770996,-33.969467,-83.236641
0.173340,0.127686,-1.044922,-149.236649,-28.015266,-85.786263
0.229980,0.227783,-1.011719,-132.488556,-19.816793,-86.183205
0.249268,0.306152,-0.955078,-119.984734,-9.954199,-85.099236
0.257080,0.414551,-0.881592,-113.267174,0.824427,-82.091606
0.204590,0.387695,-0.884766,-104.137405,8.030535,-79.358780
0.192871,0.362793,-0.831299,-95.923668,13.740458,-74.427483
0.197510,0.297119,-0.814209,-83.709923,19.206106,-72.534348
0.166504,0.290283,-0.799561,-73.511452,23.801527,-71.068703
