xacc,yacc,zacc,xgyro,ygyro,zgyro
0.047363,-0.988281,0.240967,3.511450,22.931297,-44.961834
0.040771,-1.004395,0.254395,2.992366,22.519083,-45.648853
0.029053,-1.021729,0.260010,3.251908,21.694656,-45.404579
0.026611,-1.025635,0.266113,3.664122,19.938931,-45.083969
0.034180,-1.014893,0.262451,3.572519,18.488550,-44.564884
0.045410,-0.991455,0.261963,2.656489,17.404581,-44.763359
0.048584,-0.981201,0.274414,0.671756,16.702290,-44.992367
0.065674,-0.981689,0.275391,-1.190840,16.778625,-45.465649
0.093750,-0.994873,0.248047,-2.091603,17.770992,-45.908398
0.112549,-1.014404,0.234375,-1.893130,20.137405,-46.473282
0.121338,-1.031006,0.224121,-0.946565,22.778625,-47.145039
0.114502,-1.037598,0.218994,0.549618,25.343512,-47.053436
0.094482,-1.042725,0.226807,3.038168,27.251909,-46.885498
0.076172,-1.028076,0.224854,4.778626,28.000000,-46.870228
0.073730,-1.008301,0.225586,5.862596,28.045801,-46.625954
0.068848,-0.996094,0.229736,6.183206,28.167938,-46.015266
0.066162,-0.984131,0.231201,5.816794,28.229008,-44.580154
0.062012,-0.981445,0.232910,5.206107,28.000000,-43.954197
0.052490,-0.984619,0.245117,4.015267,26.427481,-43.679390
0.036865,-0.980469,0.239502,3.068702,24.931297,-43.160305
0.042725,-0.989014,0.250244,2.442748,23.465649,-42.427483
0.044434,-0.999512,0.251221,2.030534,22.000000,-41.786259
0.039307,-1.000977,0.241699,2.152672,20.183207,-41.465649
0.046631,-1.007324,0.221436,2.488550,19.267176,-41.099236
0.067139,-1.035400,0.238037,4.076336,19.587786,-40.442749
0.079102,-1.064697,0.246338,6.671756,19.877863,-40.290077
0.068115,-1.061279,0.247803,8.671756,19.969465,-41.206108
0.071777,-1.053711,0.259277,10.198473,20.320610,-42.641220
0.071289,-1.022949,0.252930,10.763359,20.732824,-43.022900
0.064941,-0.989502,0.263672,9.572519,20.854961,-43.251907
0.056641,-0.952148,0.274902,7.206107,20.488550,-43.572517
0.057129,-0.932373,0.261963,3.862595,19.862595,-43.832062
0.047852,-0.939453,0.257568,0.732824,18.961832,-44.977100
0.053467,-0.944824,0.253906,-2.351145,18.748091,-45.038166
0.072266,-0.963867,0.270264,-3.984733,19.603054,-44.152672
0.075684,-0.967285,0.273926,-5.160306,20.274809,-44.106869
0.064453,-0.971680,0.277588,-6.335878,20.229008,-44.824429
0.063477,-0.969727,0.267090,-7.679389,19.832062,-44.946564
0.074219,-0.965332,0.252197,-9.190840,19.648855,-44.213741
0.072266,-0.980225,0.245850,-10.213740,19.435114,-44.259541
0.078369,-1.001709,0.243652,-9.923664,19.984734,-45.541985
0.072510,-1.038574,0.245117,-7.618320,21.343512,-44.916031
0.094482,-1.063477,0.256348,-3.862595,23.114504,-43.389313
0.092529,-1.063477,0.271484,-0.778626,23.816793,-42.900764
0.094482,-1.053711,0.250977,1.801527,24.778625,-43.221375
0.105957,-1.047363,0.225342,3.954198,26.106871,-43.206108
0.097168,-1.033936,0.225342,4.931298,27.297710,-44.030533
0.071777,-1.020508,0.230713,5.343512,27.328245,-44.931297
0.044189,-1.007568,0.241699,4.870229,26.351145,-45.160305
0.024658,-0.984131,0.239502,3.572519,24.167938,-44.488548
0.022461,-0.966553,0.256592,1.557252,21.832062,-43.526718
0.027100,-0.965576,0.247070,-0.900763,20.274809,-43.297710
0.039307,-0.970947,0.257324,-2.396947,19.465649,-42.595421
0.067139,-0.985596,0.278076,-3.633588,19.816793,-41.862595
0.077881,-1.003174,0.275146,-3.572519,20.137405,-42.870228
0.066406,-1.030762,0.279053,-2.213740,20.106871,-44.244274
0.058594,-1.041016,0.273682,-0.305344,19.526718,-44.931297
0.052246,-1.032715,0.271973,1.129771,18.870230,-44.977100
